merchant_name,category,brand
1MG HEALTH ONLINE,Health,1MG
whitehat jr payment,Education,WHITEHAT JR
REWARD POINTS CREDITED,Income,REWARDPOINTSCREDITED
AMAZON PRIME VIDEO,Entertainment,AMAZON PRIME VIDEO
UPI-FAMILY TRANSFER-375492405@paytm,Transfers,FAMILY TRANSFER
UPI/FIITJEE/874162472,Education,FIITJEE
WATER BOARD BILL SI,Utilities,WATER BOARD BILL
ATM WITHDRAWAL HDFC*584792101,Cash,ATM WITHDRAWAL HDFC
NSDL DEPOSITORY PURCHASE 672657956,Investment,NSDL DEPOSITORY
GYM MEMBERSHIP FEE PURCHASE 644774970,Health,GYM MEMBERSHIP FEE
CDM CASH DEPOSIT 21JUL,Cash,CDM CASH DEPOSIT
PANTALOONS 13AUG,Shopping,PANTALOONS
UPI/BAJAJ ALLIANZ INSURANCE/574670032,Insurance,BAJAJ ALLIANZ INSURANCE
UPI-CDM CASH DEPOSIT-917567004@axl,Cash,CDM CASH DEPOSIT
BIL/NESTAWAY RENT/134567613,Rent,NESTAWAY RENT
NEFT CR-CONCERT TICKET BOOKING-400624818,Entertainment,CONCERT TICKET BOOKING
UPI-PIZZA HUT-662581035@ybl,Food,PIZZA HUT
UPI/STANZA LIVING RENT/109520557,Rent,STANZA LIVING RENT
POS TATA CLIQ KOLKATA,Shopping,TATA CLIQ
UPI/INOX MOVIES/360614557,Entertainment,INOX MOVIES
UPI/FAMILY TRANSFER/673263738,Transfers,FAMILY TRANSFER
POS/SBI LIFE INSURANCE/121928229,Insurance,SBI LIFE INSURANCE
LINKEDIN PREMIUM PURCHASE 394391911,Subscriptions,LINKEDIN PREMIUM
SUBWAY,Food,SUBWAY
BOX8*410864588,Food,BOX8
JIO*826958713,Utilities,JIO
IMPS/169271942/INOX MOVIES,Entertainment,INOX MOVIES
POS STEAM GAMES PURCHASE BANGALORE,Entertainment,STEAM GAMES PURCHASE
BIL/ZOMATO/639026034,Food,ZOMATO
UPI/QUICK RIDE/414788293,Transport,QUICK RIDE
NEFT CR-REFUND CREDIT-493760505,Income,REFUND CREDIT
NEFT CR-VEDANTU-969895920,Education,VEDANTU
NETMEDS 22MAY,Health,NETMEDS
IMPS/841381731/FLAT RENT TRANSFER,Rent,FLAT RENT TRANSFER
UPI-APOLLO PHARMACY-851624282@axl,Health,APOLLO PHARMACY
NEFT CR-CASH WITHDRAWAL KOTAK-859765442,Cash,CASH WITHDRAWAL KOTAK
UPI-PG RENT PAYMENT-680720507@apl,Rent,PG RENT PAYMENT
NEFT DR-AJIO,Shopping,AJIO
POS STEAM GAMES PURCHASE DELHI,Entertainment,STEAM GAMES PURCHASE
UPI-BARBEQUE NATION-432097676@apl,Food,BARBEQUE NATION
PARKING FEE*578869802,Transport,PARKING FEE
POS CONCERT TICKET BOOKING DELHI,Entertainment,CONCERT TICKET BOOKING
IMPS/770197070/BOOKMYSHOW,Entertainment,BOOKMYSHOW
IMPS/343636854/CASH WITHDRAWAL AXIS BANK,Cash,CASH WITHDRAWAL AXIS BANK
NEFT CR-TATA POWER-154712904,Utilities,TATA POWER
INOX MOVIES PURCHASE 546462966,Entertainment,INOX MOVIES
UPI-AIRTEL-895688388@axl,Utilities,AIRTEL
CODING NINJAS LEARN,Education,CODINGNINJASLEARN
UPI/FABINDIA/780631093,Shopping,FABINDIA
NEFT CR-BANK SERVICE CHARGE-840811151,Other,BANK SERVICE CHARGE
CDSL DEPOSITORY PURCHASE 358118876,Investment,CDSL DEPOSITORY
sms charge payment,Other,SMS CHARGE
POS/PLAYSTATION STORE/961077612,Entertainment,PLAYSTATION STORE
NEWSPAPER SUBSCRIPTION,Subscriptions,NEWSPAPERSUBSCRIPTION
POS/COLLEGE FEES PAYMENT/114162216,Education,COLLEGE FEES PAYMENT
ACH DR-1MG,Health,1MG
MUTUAL FUND SIP*476351832,Investment,MUTUAL FUND SIP
KUVERA INVESTMENT*959748394,Investment,KUVERA INVESTMENT
IMPS/220769011/COLLEGE FEES PAYMENT,Education,COLLEGE FEES PAYMENT
GYM MEMBERSHIP FEE SI,Health,GYM MEMBERSHIP FEE
POS/STAR HEALTH INSURANCE/269211291,Insurance,STAR HEALTH INSURANCE
UPI/PG RENT PAYMENT/803509884,Rent,PG RENT PAYMENT
BIL/BONUS CREDIT/167922272,Income,BONUS CREDIT
POS/SALARY CREDIT/818632661,Income,SALARY CREDIT
Hotstar,Subscriptions,HOTSTAR
SMALLCAP FUND INVEST,Investment,SMALLCAPFUNDINVEST
BIL/FABINDIA/432184213,Shopping,FABINDIA
DIVIDEND CREDIT*553385696,Income,DIVIDEND CREDIT
NEFT CR-CASH WITHDRAWAL AXIS BANK-268206196,Cash,CASH WITHDRAWAL AXIS BANK
UPI/UPSTOX/916190410,Investment,UPSTOX
BAJAJ ALLIANZ INSURANCE 17AUG,Insurance,BAJAJ ALLIANZ INSURANCE
POS FREELANCE PAYMENT RECEIVED BANGALORE,Income,FREELANCE PAYMENT RECEIVED
UPI-GAMING ZONE-885176381@ybl,Entertainment,GAMING ZONE
UPI/WESTSIDE/872608028,Shopping,WESTSIDE
AMAZON PRIME VIDEO 26MAY,Subscriptions,AMAZON PRIME VIDEO
POS/NESTAWAY RENT/573314481,Rent,NESTAWAY RENT
RAPIDO 06OCT,Transport,RAPIDO
NEFT CR-VI VODAFONE IDEA-341142023,Utilities,VI VODAFONE IDEA
POS/REIMBURSEMENT CREDIT/660721366,Income,REIMBURSEMENT CREDIT
GST CHARGE 27AUG,Other,GST CHARGE
UPI-TORRENT POWER-490275201@axl,Utilities,TORRENT POWER
POS/ZERODHA KITE/269544529,Investment,ZERODHA KITE
UPI-MUMBAI METRO-171132564@oksbi,Transport,MUMBAI METRO
NEFT CR-PG RENT PAYMENT-466845344,Rent,PG RENT PAYMENT
NEFT CR-GOOGLE ONE-897989079,Subscriptions,GOOGLE ONE
ATM CASH DISPENSED,Cash,ATMCASHDISPENSED
NEFT CR-AMAZON PRIME VIDEO-298205935,Subscriptions,AMAZON PRIME VIDEO
ACH DR-ICICI PRUDENTIAL LIFE,Insurance,ICICI PRUDENTIAL LIFE
POS HDFC LIFE INSURANCE KOLKATA,Insurance,HDFC LIFE INSURANCE
BONUS CREDIT ONLINE PAYMENT,Income,BONUS CREDIT
ANNUAL BONUS CREDIT,Income,BONUS CREDIT
UPI-ATM WITHDRAWAL SBI-956108975@apl,Cash,ATM WITHDRAWAL SBI
IMPS/369006948/CASH WITHDRAWAL KOTAK,Cash,CASH WITHDRAWAL KOTAK
ACH DR-CARE HEALTH INSURANCE,Insurance,CARE HEALTH INSURANCE
POS/CHEQUE BOUNCE CHARGE/495790176,Other,CHEQUE BOUNCE CHARGE
FLAT RENT TRANSFER 11FEB,Rent,FLAT RENT TRANSFER
UPI-RTGS TRANSFER-782473125@axl,Transfers,RTGS TRANSFER
GROWW*532129489,Investment,GROWW
APOLLO PHARMACY 26OCT,Health,APOLLO PHARMACY
ICICI DIRECT 23JUL,Investment,ICICI DIRECT
FITTERNITY PURCHASE 235799523,Health,FITTERNITY
VEDANTU ONLINE CLASS,Education,VEDANTU
NEFT CR-STARBUCKS-664258474,Food,STARBUCKS
UPI-HP PETROL PUMP-101074879@axl,Transport,HP PETROL PUMP
BIL/NGO DONATION/388051615,Other,NGO DONATION
NEFT CR-SMS CHARGE-739047308,Other,SMS CHARGE
BIL/GST CHARGE/764668199,Other,GST CHARGE
POS/LIC POLICY RENEWAL/838080015,Insurance,LIC POLICY RENEWAL
NEFT CR-PAYTM MONEY-104575998,Investment,PAYTM MONEY
MOBILE PREMIER LEAGUE,Entertainment,MOBILEPREMIERLEAGUE
BIL/NAMMA METRO/231814874,Transport,NAMMA METRO
NEFT CR-HOTSTAR-909870047,Subscriptions,HOTSTAR
IMPS/253902993/ICLOUD STORAGE,Subscriptions,ICLOUD STORAGE
UPI-FAASOS-763395529@apl,Food,FAASOS
SBI MUTUAL FUND 25NOV,Investment,SBI MUTUAL FUND
POS/FITTERNITY/580488037,Health,FITTERNITY
NEFT CR-NETMEDS-747388120,Health,NETMEDS
Care Health Insurance,Insurance,CARE HEALTH INSURANCE
IMPS/459792089/MAX BUPA HEALTH INSURANCE,Insurance,MAX BUPA HEALTH INSURANCE
ACH DR-REFUND CREDIT,Income,REFUND CREDIT
UPI/YOUTUBE PREMIUM/445579291,Subscriptions,YOUTUBE PREMIUM
RTGS TRANSFER 08NOV,Transfers,RTGS TRANSFER
FASHION STREET SHOP,Shopping,FASHIONSTREETSHOP
UPI/JIO/595823751,Utilities,JIO
LIC INSURANCE DEBIT,Insurance,LICINSURANCEDEBIT
AJIO ONLINE PAYMENT,Shopping,AJIO
BIL/APOLLO HOSPITAL/752962225,Health,APOLLO HOSPITAL
POS/CASH WITHDRAWAL KOTAK/113139785,Cash,CASH WITHDRAWAL KOTAK
BIL/FAASOS/437568796,Food,FAASOS
NESTAWAY RENT PURCHASE 406106428,Rent,NESTAWAY RENT
POS/ATM WITHDRAWAL ICICI/827652457,Cash,ATM WITHDRAWAL ICICI
SIP RELIANCE MF,Investment,SIPRELIANCEMF
IMPS/990189659/FAASOS,Food,FAASOS
ATM WITHDRAWAL ICICI PURCHASE 542396350,Cash,ATM WITHDRAWAL ICICI
BIL/BASKIN ROBBINS/612153089,Food,BASKIN ROBBINS
COIN BY ZERODHA*172670133,Investment,COIN BY ZERODHA
AXIS MUTUAL FUND 19AUG,Investment,AXIS MUTUAL FUND
Vistara,Transport,VISTARA
ZOMATO ONLINE PAYMENT,Food,ZOMATO
ACH DR-DECATHLON,Shopping,DECATHLON
BIL/BAJAJ ALLIANZ INSURANCE/234502571,Insurance,BAJAJ ALLIANZ INSURANCE
ACH DR-SPICEJET,Transport,SPICEJET
CDM CASH DEPOSIT*837336933,Cash,CDM CASH DEPOSIT
Reliance Digital,Shopping,RELIANCE DIGITAL
VARIOUS DEDUCTIONS,Other,VARIOUSDEDUCTIONS
IMPS/444361065/CONCERT TICKET BOOKING,Entertainment,CONCERT TICKET BOOKING
UNACADEMY PURCHASE 896208139,Education,UNACADEMY
UPI-COURSERA-337107717@okhdfcbank,Education,COURSERA
ACH DR-LIC POLICY RENEWAL,Insurance,LIC POLICY RENEWAL
POS/ATM WITHDRAWAL HDFC/363383452,Cash,ATM WITHDRAWAL HDFC
POS/VEDANTU/316534203,Education,VEDANTU
NEFT CR-HDFC LIFE INSURANCE-748011072,Insurance,HDFC LIFE INSURANCE
UPI/RAPIDO/891824663,Transport,RAPIDO
BIL/BANK SERVICE CHARGE/421080691,Other,BANK SERVICE CHARGE
SUBWAY PURCHASE 234400576,Food,SUBWAY
JIO 27JUN,Utilities,JIO
POS/CASH WITHDRAWAL AXIS BANK/863076502,Cash,CASH WITHDRAWAL AXIS BANK
LAB TEST BLOOD,Health,LABTESTBLOOD
EASEMYTRIP TICKET,Transport,EASEMYTRIPTICKET
BIL/MUTUAL FUND SIP/600074797,Investment,MUTUAL FUND SIP
PVR CINEMAS 11JUL,Entertainment,PVR CINEMAS
UPI-THYROCARE-477163672@ybl,Health,THYROCARE
UPI-CDM CASH DEPOSIT-250705917@apl,Cash,CDM CASH DEPOSIT
THEOBROMA 22DEC,Food,THEOBROMA
BIL/FAMILY TRANSFER/222859966,Transfers,FAMILY TRANSFER
IMPS/858511779/BOX8,Food,BOX8
GAMING ZONE*926471790,Entertainment,GAMING ZONE
INOX MOVIES*466510747,Entertainment,INOX MOVIES
POS/UPSTOX/517865294,Investment,UPSTOX
ICICI PRUDENTIAL LIFE*743594369,Insurance,ICICI PRUDENTIAL LIFE
QUICK RIDE*608242781,Transport,QUICK RIDE
IMPS/784907325/SWIGGY INSTAMART,Food,SWIGGY INSTAMART
BEHROUZ BIRYANI PURCHASE 740116562,Food,BEHROUZ BIRYANI
UPI/MSEB ELECTRICITY/257718363,Utilities,MSEB ELECTRICITY
TATA POWER ELECTRICITY,Utilities,TATA POWER
BIL/AAKASH INSTITUTE/268322186,Education,AAKASH INSTITUTE
TORRENT POWER SI,Utilities,TORRENT POWER
NESTAWAY RENT*450150925,Rent,NESTAWAY RENT
NEFT CR-FIITJEE-544343478,Education,FIITJEE
POS/RELIANCE DIGITAL/543700355,Shopping,RELIANCE DIGITAL
SBI MUTUAL FUND*177417848,Investment,SBI MUTUAL FUND
annual maintenance charge payment,Other,ANNUAL MAINTENANCE CHARGE
PAYROLL CREDIT 23MAY,Income,PAYROLL CREDIT
JIO,Utilities,JIO
PANTALOONS*930888412,Shopping,PANTALOONS
IMPS/707890457/THEOBROMA,Food,THEOBROMA
POS/TEMPLE DONATION/917495309,Other,TEMPLE DONATION
UPI/ICLOUD STORAGE/901286903,Subscriptions,ICLOUD STORAGE
IMPS/145026751/MSEB ELECTRICITY,Utilities,MSEB ELECTRICITY
BIL/UDEMY/450305203,Education,UDEMY
DELHI METRO SI,Transport,DELHI METRO
BIL/QUICK RIDE/827890137,Transport,QUICK RIDE
MSEDCL ELECTRICITY BILL,Utilities,MSEDCLELECTRICITYBILL
UPI/OLA AUTO/586846620,Transport,OLA AUTO
BIL/ACT FIBERNET BROADBAND/858136646,Utilities,ACT FIBERNET BROADBAND
IMPS/582522615/PANTALOONS,Shopping,PANTALOONS
UPI/STANZA LIVING RENT/190989760,Rent,STANZA LIVING RENT
DISH TV RECHARGE,Utilities,DISHTVRECHARGE
UPI/UDEMY/955216773,Education,UDEMY
POS/UPI TRANSFER TO FRIEND/678471226,Transfers,UPI TRANSFER TO FRIEND
POS GROWW HYDERABAD,Investment,GROWW
CHEQUE BOUNCE CHARGE SI,Other,CHEQUE BOUNCE CHARGE
ACH DR-CASH WITHDRAWAL KOTAK,Cash,CASH WITHDRAWAL KOTAK
AIRTEL 21JUL,Utilities,AIRTEL
BOOKMYSHOW SI,Entertainment,BOOKMYSHOW
BIL/MICROSOFT 365/610674706,Subscriptions,MICROSOFT 365
NEFT CR-HOSTEL FEE PAYMENT-997424652,Rent,HOSTEL FEE PAYMENT
POS/STEAM GAMES PURCHASE/263483479,Entertainment,STEAM GAMES PURCHASE
NEFT CR-AUDIBLE-472445806,Subscriptions,AUDIBLE
BIL/ATM WITHDRAWAL HDFC/798887348,Cash,ATM WITHDRAWAL HDFC
BIL/CONSULTANCY FEE RECEIVED/110643751,Income,CONSULTANCY FEE RECEIVED
IMPS/237859287/THEOBROMA,Food,THEOBROMA
MSEB ELECTRICITY SI,Utilities,MSEB ELECTRICITY
BIL/MCDONALDS/174716780,Food,MCDONALDS
UPI/REIMBURSEMENT CREDIT/103606363,Income,REIMBURSEMENT CREDIT
BONUS CREDIT 23MAR,Income,BONUS CREDIT
IMPS TRANSFER PURCHASE 788179646,Transfers,IMPS TRANSFER
POS/NIIT/516508961,Education,NIIT
POS/BOUNCE SCOOTER/107661580,Transport,BOUNCE SCOOTER
PERSONAL LOAN EMI,Transfers,PERSONALLOANEMI
RENT SPLIT TRANSFER,Transfers,RENT SPLIT TRANSFER
ATM WITHDRAWAL HDFC 06NOV,Cash,ATM WITHDRAWAL HDFC
BIL/ZOLO STAYS RENT/470379056,Rent,ZOLO STAYS RENT
ZOMATO HYPERPURE*624606470,Food,ZOMATO HYPERPURE
DONATION PAYMENT PURCHASE 259879402,Other,DONATION PAYMENT
BENEFICIARY TRANSFER,Transfers,BENEFICIARYTRANSFER
UPI/SBI MUTUAL FUND/374797453,Investment,SBI MUTUAL FUND
UPI/NEFT TRANSFER/713194513,Transfers,NEFT TRANSFER
ZERODHA KITE*212358004,Investment,ZERODHA KITE
GYM MEMBERSHIP FEE 16AUG,Health,GYM MEMBERSHIP FEE
ZOMATO HYPERPURE ONLINE PAYMENT,Food,ZOMATO HYPERPURE
DECATHLON SPORTS INDIA,Shopping,DECATHLON
UPI/HOTSTAR/237383441,Subscriptions,HOTSTAR
POS/REDBUS/190622682,Transport,REDBUS
UPI/CDM CASH DEPOSIT/422863489,Cash,CDM CASH DEPOSIT
EXCITEL BROADBAND PURCHASE 842854111,Utilities,EXCITEL BROADBAND
UPI-SBI MUTUAL FUND-706191421@apl,Investment,SBI MUTUAL FUND
BIL/LANDLORD PAYMENT/704078870,Rent,LANDLORD PAYMENT
COIN BY ZERODHA PURCHASE 505383053,Investment,COIN BY ZERODHA
EATFIT SI,Food,EATFIT
UPI/STAR HEALTH INSURANCE/440470409,Insurance,STAR HEALTH INSURANCE
POS/LANDLORD PAYMENT/939367135,Rent,LANDLORD PAYMENT
UPI/SALARY CREDIT/688994359,Income,SALARY CREDIT
TATA POWER*847803291,Utilities,TATA POWER
NEW INDIA ASSURANCE ONLINE PAYMENT,Insurance,NEW INDIA ASSURANCE
UPI-MAX FASHION-930712117@apl,Shopping,MAX FASHION
UPI-BIRYANI BLUES-472807202@okicici,Food,BIRYANI BLUES
UPI-PVR CINEMAS-225395804@axl,Entertainment,PVR CINEMAS
NEFT CR-WOW MOMO-117920106,Food,WOW MOMO
UPI/CASH WITHDRAWAL AXIS BANK/281017601,Cash,CASH WITHDRAWAL AXIS BANK
BESCOM ELECTRICITY*232975024,Utilities,BESCOM ELECTRICITY
UPI-FIITJEE-996486198@paytm,Education,FIITJEE
DIVIDEND CREDIT*145379053,Income,DIVIDEND CREDIT
NEFT CR-GYM MEMBERSHIP FEE-518207486,Health,GYM MEMBERSHIP FEE
CASH WITHDRAWAL KOTAK SI,Cash,CASH WITHDRAWAL KOTAK
PHYSICS WALLAH PURCHASE 518945592,Education,PHYSICS WALLAH
FIITJEE ONLINE PAYMENT,Education,FIITJEE
HP GAS BOOKING ONLINE PAYMENT,Utilities,HP GAS BOOKING
BIL/CAFE COFFEE DAY/451492250,Food,CAFE COFFEE DAY
SALESFORCE CRM,Subscriptions,SALESFORCECRM
POS/RELIGARE HEALTH INSURANCE/835664891,Insurance,RELIGARE HEALTH INSURANCE
NEFT CR-ZOLO STAYS RENT-638660117,Rent,ZOLO STAYS RENT
BIL/UDEMY/730804084,Education,UDEMY
YOUTUBE PREMIUM INDIA,Entertainment,YOUTUBE PREMIUM
IMPS/602218807/MEDPLUS,Health,MEDPLUS
BILL PAYMENT TRANSFER,Transfers,BILLPAYMENTTRANSFER
JIO 16OCT,Utilities,JIO
STANZA LIVING RENT 24APR,Rent,STANZA LIVING RENT
UPI/CHEQUE BOUNCE CHARGE/135603000,Other,CHEQUE BOUNCE CHARGE
POS/CASHBACK CREDIT/179664509,Income,CASHBACK CREDIT
UPI/STANZA LIVING RENT/418922760,Rent,STANZA LIVING RENT
UPI TRANSFER TO FRIEND ONLINE PAYMENT,Transfers,UPI TRANSFER TO FRIEND
UPI-HOUSE RENT PAYMENT-197170874@okhdfcbank,Rent,HOUSE RENT PAYMENT
NEFT DR-OLA AUTO,Transport,OLA AUTO
BIL/ZEPTO/723852830,Shopping,ZEPTO
NEFT CR-SCHOOL FEES PAYMENT-134747450,Education,SCHOOL FEES PAYMENT
Medplus,Health,MEDPLUS
APOLLO HOSPITAL 21APR,Health,APOLLO HOSPITAL
NEFT CR-ANNUAL MAINTENANCE CHARGE-401761622,Other,ANNUAL MAINTENANCE CHARGE
POS WOW MOMO BANGALORE,Food,WOW MOMO
AMUSEMENT PARK TICKET 24APR,Entertainment,AMUSEMENT PARK TICKET
ZOMATO HYPERPURE 14DEC,Food,ZOMATO HYPERPURE
UPI-MUTUAL FUND SIP-511476783@okhdfcbank,Investment,MUTUAL FUND SIP
BIL/ATM WITHDRAWAL ICICI/410982800,Cash,ATM WITHDRAWAL ICICI
BURGER KING SI,Food,BURGER KING
NEFT CR-PIZZA HUT-738914080,Food,PIZZA HUT
OLA AUTO RIDE,Transport,OLA AUTO
TWO WHEELER INSURANCE,Insurance,TWOWHEELERINSURANCE
UPI/LIC POLICY RENEWAL/240587322,Insurance,LIC POLICY RENEWAL
RUBY HALL CLINIC,Health,RUBYHALLCLINIC
UPI/DECATHLON/661277051,Shopping,DECATHLON
NEFT CR-TORRENT POWER-657165824,Utilities,TORRENT POWER
GST CHARGE PURCHASE 986393789,Other,GST CHARGE
ZERODHA KITE PURCHASE 591673711,Investment,ZERODHA KITE
BOOKMYSHOW 09JUL,Entertainment,BOOKMYSHOW
UPI/JIOCINEMA/327270384,Subscriptions,JIOCINEMA
ACT FIBERNET BROADBAND*689848541,Utilities,ACT FIBERNET BROADBAND
SMS CHARGE,Other,SMS CHARGE
UPI/SBI LIFE INSURANCE/408029141,Insurance,SBI LIFE INSURANCE
POS/MUTUAL FUND SIP/648906908,Investment,MUTUAL FUND SIP
MEDPLUS PURCHASE 901898947,Health,MEDPLUS
UPI-OLA AUTO-712295241@okicici,Transport,OLA AUTO
ZOMATO*760268760,Food,ZOMATO
POS/AMUSEMENT PARK TICKET/651283534,Entertainment,AMUSEMENT PARK TICKET
UPI/LIFESTYLE/456196659,Shopping,LIFESTYLE
SPICEJET ONLINE PAYMENT,Transport,SPICEJET
NEFT CR-GST CHARGE-230224536,Other,GST CHARGE
UPI/SBI MUTUAL FUND/813171907,Investment,SBI MUTUAL FUND
NEFT CR-BYJUS-870766683,Education,BYJUS
IMPS/986526385/CDM CASH DEPOSIT,Cash,CDM CASH DEPOSIT
CHAI SUTTA BAR,Food,CHAISUTTABAR
MUMBAI METRO PURCHASE 655095194,Transport,MUMBAI METRO
BIL/AMUSEMENT PARK TICKET/268225289,Entertainment,AMUSEMENT PARK TICKET
POS NSDL DEPOSITORY HYDERABAD,Investment,NSDL DEPOSITORY
CROMA*912239392,Shopping,CROMA
ZOMATO 20JUL,Food,ZOMATO
BIL/CULT FIT/739890586,Health,CULT FIT
UPI-UNACADEMY-886708679@paytm,Education,UNACADEMY
UPI/UPI TRANSFER TO FRIEND/139190967,Transfers,UPI TRANSFER TO FRIEND
POS/AIR INDIA/529832349,Transport,AIR INDIA
NEFT CR-DOMINOS PIZZA-993108266,Food,DOMINOS PIZZA
NEFT CR-AIR INDIA-107106953,Transport,AIR INDIA
POS/APOLLO HOSPITAL/870173255,Health,APOLLO HOSPITAL
POS CASHBACK CREDIT PUNE,Income,CASHBACK CREDIT
BIL/AIRTEL/885980740,Utilities,AIRTEL
NEFT CR-SPICEJET-318757401,Transport,SPICEJET
PHYSIOTHERAPY CLINIC,Health,PHYSIOTHERAPYCLINIC
IMPS/231021447/LIFESTYLE,Shopping,LIFESTYLE
NEFT CR-IMPS TRANSFER-153582130,Transfers,IMPS TRANSFER
POS/ADOBE CREATIVE CLOUD/256097045,Subscriptions,ADOBE CREATIVE CLOUD
POS/VEDANTU/909548558,Education,VEDANTU
IMPS/372825588/AXIS MUTUAL FUND,Investment,AXIS MUTUAL FUND
BIL/STANZA LIVING RENT/625119993,Rent,STANZA LIVING RENT
REFUND CREDIT PURCHASE 466634575,Income,REFUND CREDIT
UPI-CASH WITHDRAWAL KOTAK-176406146@axl,Cash,CASH WITHDRAWAL KOTAK
THEOBROMA*596126873,Food,THEOBROMA
EATFIT*841218491,Food,EATFIT
IMPS/921861006/EXCITEL BROADBAND,Utilities,EXCITEL BROADBAND
BARBEQUE NATION 22DEC,Food,BARBEQUE NATION
NEFT CR-PARKING FEE-254231505,Transport,PARKING FEE
RTGS TRANSFER*855476553,Transfers,RTGS TRANSFER
NEFT DR-HP PETROL PUMP,Transport,HP PETROL PUMP
IMPS/337009348/PLAYSTATION STORE,Entertainment,PLAYSTATION STORE
UPI/MCDONALDS/906341966,Food,MCDONALDS
POS/GYM APP SUBSCRIPTION/712993971,Subscriptions,GYM APP SUBSCRIPTION
FRESHMENU*450236225,Food,FRESHMENU
BIL/ATM WITHDRAWAL HDFC/530330047,Cash,ATM WITHDRAWAL HDFC
BIL/CDM CASH DEPOSIT/116048474,Cash,CDM CASH DEPOSIT
mahanagar gas payment,Utilities,MAHANAGAR GAS
NIIT SI,Education,NIIT
DELHI JAL BOARD BILL,Utilities,DELHIJALBOARDBILL
JIOFIBER*663476031,Utilities,JIOFIBER
PEDIATRICIAN VISIT,Health,PEDIATRICIANVISIT
WOW MOMO PURCHASE 154544899,Food,WOW MOMO
POS/BOOKMYSHOW/178830977,Entertainment,BOOKMYSHOW
UPI/BEHROUZ BIRYANI/322434334,Food,BEHROUZ BIRYANI
UPI-TATA AIA LIFE-222110890@axl,Insurance,TATA AIA LIFE
UPI-COIN BY ZERODHA-232481302@okicici,Investment,COIN BY ZERODHA
BHARAT PETROLEUM PURCHASE 305999029,Transport,BHARAT PETROLEUM
Fortis Hospital,Health,FORTIS HOSPITAL
HEALTHIFYME 14MAY,Health,HEALTHIFYME
UPI-AUDIBLE-472915318@apl,Subscriptions,AUDIBLE
POS/STEAM GAMES PURCHASE/985864250,Entertainment,STEAM GAMES PURCHASE
PF SETTLEMENT CREDIT,Income,PFSETTLEMENTCREDIT
IRCTC*350302083,Transport,IRCTC
NEW INDIA ASSURANCE 21SEP,Insurance,NEW INDIA ASSURANCE
UPI-CARE HEALTH INSURANCE-798589510@okicici,Insurance,CARE HEALTH INSURANCE
POS ICLOUD STORAGE HYDERABAD,Subscriptions,ICLOUD STORAGE
INOX MOVIES*687396879,Entertainment,INOX MOVIES
POS TATA POWER KOLKATA,Utilities,TATA POWER
REFUND CREDIT PURCHASE 706713855,Income,REFUND CREDIT
PAYING GUEST RENT,Rent,PAYINGGUESTRENT
Upstox,Investment,UPSTOX
UPI-RENT SPLIT TRANSFER-608955365@okhdfcbank,Transfers,RENT SPLIT TRANSFER
ATM WITHDRAWAL SBI*586880829,Cash,ATM WITHDRAWAL SBI
NAMMA METRO*531967365,Transport,NAMMA METRO
BOX8 26JUN,Food,BOX8
TAXI CAB SERVICE,Transport,TAXICABSERVICE
IMPS/904225572/ADOBE CREATIVE CLOUD,Subscriptions,ADOBE CREATIVE CLOUD
POS/ACT FIBERNET BROADBAND/174575794,Utilities,ACT FIBERNET BROADBAND
GO KARTING INDIA,Entertainment,GOKARTINGINDIA
UPI-FREELANCE PAYMENT RECEIVED-563281431@okhdfcbank,Income,FREELANCE PAYMENT RECEIVED
POS NAMMA METRO CHENNAI,Transport,NAMMA METRO
WATER BOARD BILL*176657833,Utilities,WATER BOARD BILL
UPI/KUVERA INVESTMENT/720212314,Investment,KUVERA INVESTMENT
PAYTM MONEY PURCHASE 532681810,Investment,PAYTM MONEY
POS PVR CINEMAS KOLKATA,Entertainment,PVR CINEMAS
HDFC SECURITIES TRADE,Investment,HDFC SECURITIES
POS AJIO HYDERABAD,Shopping,AJIO
POS SWIGGY INSTAMART DELHI,Food,SWIGGY INSTAMART
ALICE BLUE INVEST,Investment,ALICEBLUEINVEST
POS HP PETROL PUMP HYDERABAD,Transport,HP PETROL PUMP
UPI/BMTC/949565526,Transport,BMTC
GYM APP SUBSCRIPTION*123067767,Subscriptions,GYM APP SUBSCRIPTION
IMPS/326953436/INDIGO AIRLINES,Transport,INDIGO AIRLINES
ACH DR-BMTC,Transport,BMTC
POS/RENT SPLIT TRANSFER/714868729,Transfers,RENT SPLIT TRANSFER
IMPS/185200790/HDFC SECURITIES,Investment,HDFC SECURITIES
POS/UPSTOX/826744963,Investment,UPSTOX
ANNUAL MAINTENANCE CHARGE 04DEC,Other,ANNUAL MAINTENANCE CHARGE
CONSULTANCY FEE RECEIVED*478404740,Income,CONSULTANCY FEE RECEIVED
BIL/PG RENT PAYMENT/515480357,Rent,PG RENT PAYMENT
NEFT CR-AAKASH INSTITUTE-214863278,Education,AAKASH INSTITUTE
UPI-WATER BOARD BILL-967108597@apl,Utilities,WATER BOARD BILL
NEFT CR-YOUTUBE PREMIUM-342993210,Subscriptions,YOUTUBE PREMIUM
RAPIDO*515790548,Transport,RAPIDO
pizza hut payment,Food,PIZZA HUT
EXCITEL BROADBAND SI,Utilities,EXCITEL BROADBAND
IMPS TRANSFER*896935161,Transfers,IMPS TRANSFER
HALDIRAMS*601463916,Food,HALDIRAMS
